ServiceDate,Routes,RouteName,CurrentRevenue,Ridership,TokenCount,TicketCount,PassCount,BillCount,UnclassifiedRevenue,DumpCount,
5/10/2016,2,2-BLANCO RD.,1385.68,3291,1,0,1858,727,87.92,398,
5/11/2016,3,3-SAN PEDRO,498.24,2189,0,,1463,267,53.02,153,
5/12/2016,4,4-SAN PEDRO,869.48,2805,2,,1674,435,40.6,262,
5/13/2016,5,5-MC CULLOUGH,398.23,1151,167,,696,217,13.02,106,
5/14/2016,6,6-US 281 Express,72.28,320,408,,212,49,5.64,11,
5/15/2016,7,7-FUNSTON,32.41,76,3,,38,18,3.09,10,
5/16/2016,8,8-N.ST.MARYS,424.81,1085,4,,665,232,23.93,116,
5/17/2016,9,9-BROADWAY,393.84,1190,334,,790,212,19.52,109,
5/18/2016,10,10-NACO./BROAD.,456.25,1435,33,,903,238,17.24,124,
5/19/2016,14,14-PERRIN BEITL,1124.1,2815,56,,1709,642,37.14,23,
5/20/2016,17,17-RANDOLPH P/R,142.53,950,2022,,581,83,12.72,360,
5/21/2016,20,20-NEW BRAUNFELS,1274.43,4152,643,,2545,667,57.04,148,
5/22/2016,21,21-KIRBY,666.67,1537,5,,876,365,25.95,100,
5/23/2016,22,22-NOLAN,311.55,1168,19,,750,169,28.11,142,
5/24/2016,24,24-E.HOUSTON,542.91,1431,103,,863,276,31.83,192,
5/25/2016,25,25-EAST COMMERCE,688.53,1904,8,,1085,391,53.65,101,
5/26/2016,26,26-M.L. KING,392.06,1358,7,,742,213,18.03,172,
5/27/2016,28,28-PORTER,670.9,1724,24,,999,378,34.65,113,
5/28/2016,30,30-RIGSBY,408.6,1075,2887,,607,233,20.19,131,
5/29/2016,32,32-STEVES AVENUE,473.9,1147,149,,600,150,23.98,207,
5/30/2016,34,34-S.ST.MARY'S,656.98,1843,1697,,1084,303,36.0,89,
5/31/2016,36,36-S. PRESA ST.,292.14,753,42,,431,259,25.54,152,
6/1/2016,42,42-ROOSEVELT,547.98,1342,2240,,808,288,29.75,69,
6/2/2016,43,43-S. FLORES,483.34,1283,68,,747,134,18.47,2,
6/3/2016,44,44-PLEASANTON RD.,540.55,1343,1364,,749,11,27.7,132,
6/4/2016,46,46-COMMERCIAL,254.38,565,20,,329,261,20.45,17,
6/5/2016,48,48-IH 35 South Express,12.45,47,32,,17,42,0.4,49,
6/6/2016,51,51-NOGALITOS STREET,483.26,1354,830,,827,108,27.1,31,
6/7/2016,54,54-S.MAIN,75.61,185,595,,100,128,2.13,146,
