ServiceDateTime,Routes,RouteName,EarlyDeparture,OnTime,LateArrival,Missing,TimePointCount,OTP,AverageDwellTime,
5/10/2016,2,BLANCO,9,691,159,22,859,80.44,123.58,
5/11/2016,3,SAN PEDRO SKIP,11,568,85,18,664,85.54,151.57,
5/12/2016,4,SAN PEDRO Frequent,15,605,93,5,709,85.33,133.11,
5/13/2016,5,McCULLOUGH,8,357,74,10,446,80.04,213.75,
5/14/2016,6,US-281 Express,6,152,15,23,175,86.86,70.56,
5/15/2016,7,SIGHTSEER SPECIAL,13,56,11,98,73,76.71,91.69,
5/16/2016,8,N ST MARYS,10,355,92,33,460,77.17,141.74,
5/17/2016,9,BROADWAY,5,284,39,49,333,85.29,131.22,
5/18/2016,10,NACO/BROADWAY,12,244,86,21,335,72.84,212.35,
5/19/2016,14,PERRIN BEITEL,27,510,134,51,656,77.74,151.71,
5/20/2016,17,IH-35 Express,26,120,7,96,133,90.23,228.37,
5/21/2016,20,NEW BRAUNFELS Frequent,23,648,76,109,751,86.28,126.81,
5/22/2016,21,KIRBY / CONVERSE,19,293,82,1,401,73.07,138.84,
5/23/2016,22,HAYS Frequent,22,363,31,7,400,90.75,139.07,
5/24/2016,24,EAST HOUSTON Frequent,21,347,55,35,433,83.83,141.25,
5/25/2016,25,E. COMMERCE Frequent,14,320,95,16,465,74.62,136.89,
5/26/2016,26,MARTIN LUTHER KING,20,415,69,9,408,78.43,176.55,
5/27/2016,28,PORTER,4,296,128,8,565,73.45,132.88,
5/28/2016,30,RIGSBY,24,254,48,15,365,81.1,179.16,
5/29/2016,32,STEVES AVE.,1,505,32,24,294,86.39,258.1,
5/30/2016,34,SOUTH ST.MARY'S,17,245,66,3,601,84.03,137.95,
5/31/2016,36,S.PRESA,7,447,38,6,322,76.09,138.26,
6/1/2016,42,ROOSEVELT,16,300,24,54,536,83.4,97.71,
6/2/2016,43,SOUTH FLORES,3,267,4,41,352,85.23,104.73,
6/3/2016,44,PLEASANTON RD.,36,265,56,14,359,74.37,106.13,
6/4/2016,46,COMMERCIAL,68,8,46,19,309,85.76,140.65,
6/5/2016,48,IH-35 S Express,37,366,43,17,16,50.0,61.63,
6/6/2016,51,NOGALITOS,0,66,35,39,113,82.06,201.47,
6/7/2016,54,SOUTH ALAMO,2,251,80,28,308,58.41,194.31,
6/8/2016,62,KIRK,30,164,36,73,216,81.49,268.71,
6/9/2016,64,US 90 Express,18,590,96,2,681,75.93,124.42,
6/10/2016,66,CERALVO Frequent,31,168,10,46,211,86.64,185.96,
6/11/2016,67,LAREDO,33,522,107,32,638,79.62,149.6,
6/12/2016,68,GUADALUPE Frequent,75,99,45,4,115,81.82,166.9,
6/13/2016,70,CESAR CHAVEZ,39,519,27,13,647,86.09,126.82,
6/14/2016,75,W. COMMERCE Frequent,25,494,49,63,552,80.22,128.67,
6/15/2016,76,WEST COMMERCE Skip,35,172,47,107,207,89.49,95.06,
6/16/2016,77,MARTIN,34,271,21,55,383,83.09,92.23,
6/17/2016,79,RUIZ  Frequent,51,458,6,11,519,70.76,85.04,
6/18/2016,82,CULEBRA,74,391,57,57,488,88.25,130.51,
6/19/2016,88,BANDERA,29,333,229,27,303,80.12,210.0,
6/20/2016,89,POPLAR,38,231,288,25,422,80.53,192.98,
6/21/2016,90,WOODLAWN,76,194,5,20,265,78.91,175.63,
6/22/2016,93,IH-10 CROSSROADS/UTSA Express,70,191,50,45,205,87.17,103.87,
6/23/2016,94,IH-10 / FIESTA TEXAS Express,53,330,259,36,218,94.63,114.0,
6/24/2016,95,FREDERICKSBURG RD,50,309,83,91,409,87.61,150.3,
6/25/2016,96,VANCE JACKSON,63,1111,135,66,1435,80.68,193.94,
6/26/2016,97,WEST AVE,62,173,75,74,257,55.98,146.35,
6/27/2016,100,PRIMO FRED RD,41,201,34,34,210,77.42,124.47,
6/28/2016,502,THOUSAND OAKS,28,321,23,88,375,67.32,186.66,
6/29/2016,505,BASSE,69,371,73,112,428,95.71,214.33,
6/30/2016,509,HILDEBRAND,71,1035,16,38,1362,85.6,222.05,
7/1/2016,515,SOUTHCROSS,89,261,8,30,315,86.68,194.47,
7/2/2016,520,ZARZAMORA,125,653,14,72,773,75.99,159.43,
7/3/2016,522,BABCOCK,55,499,17,58,548,82.86,180.0,
7/4/2016,524,GENERAL McMULLEN Frequent,32,479,18,68,660,84.48,210.9,
7/5/2016,534,WURZBACH,40,552,20,97,262,76.07,212.49,
7/6/2016,550,LOOPER Skip,64,183,37,133,178,87.41,226.22,
7/7/2016,551,NORTH STAR / MEDICAL CENTER,47,115,148,26,189,83.64,191.89,
7/8/2016,602,MEDICAL CENTER/UTSA,61,154,1,85,81,69.85,106.44,
7/9/2016,603,MEDICAL CENTER/UNIVERSITY HGTS.,45,57,78,69,217,64.61,182.27,
7/10/2016,604,UTSA/MAINLAND,81,187,161,29,105,81.48,105.69,
7/11/2016,605,MEDICAL CENTER/ALAMO RANCH,42,93,99,12,131,70.37,144.99,
7/12/2016,606,MEDICAL CENTER / INGRAM,77,108,52,84,256,86.18,103.6,
